date, pm25
2021/1/29, 176
2021/1/30, 169
2021/1/31, 167
2021/2/1, 167
2021/2/2, 154
2021/2/3, 161
2021/2/4, 167
2021/2/5, 152
2021/2/6, 150
2021/2/7, 132
2021/2/8, 145
2021/2/9, 153
2021/2/10, 178
2021/2/11, 187
2021/2/12, 178
2021/2/13, 152
2021/2/14, 145
2021/2/15, 117
2021/2/16, 119
2021/2/17, 134
2021/2/18, 168
2021/2/19, 132
2021/2/20, 130
2021/2/21, 135
2021/2/22, 142
2021/2/23, 165
2021/2/24, 172
2021/2/25, 152
2021/2/26, 129
2021/2/27, 126
2021/2/28, 139
2021/3/1, 159
2021/3/2, 146
2021/3/3, 152
2021/3/4, 160
2021/3/5, 169
2021/3/6, 137
2021/3/7, 122
2021/3/8, 112
2021/3/9, 131
2021/3/10, 131
2021/3/11, 107
2021/3/12, 106
2021/3/13, 154
2021/3/14, 150
2021/3/15, 142
2021/3/16, 134
2021/3/17, 146
2021/3/18, 129
2021/3/19, 135
2021/3/20, 125
2021/3/21, 130
2021/3/22, 134
2021/3/23, 147
2021/3/24, 160
2021/3/25, 140
2021/3/26, 156
2021/3/27, 154
2021/3/28, 143
2021/3/29, 115
2021/3/30, 71
2021/3/31, 75
2020/10/1, 62
2020/10/2, 83
2020/10/3, 97
2020/10/4, 72
2020/10/5, 65
2020/10/6, 87
2020/10/7, 103
2020/10/8, 107
2020/10/9, 136
2020/10/10, 145
2020/10/11, 99
2020/10/12, 117
2020/10/13, 116
2020/10/14, 124
2020/10/15, 65
2020/10/16, 67
2020/10/17, 70
2020/10/18, 65
2020/10/19, 68
2020/10/20, 83
2020/10/21, 95
2020/10/22, 105
2020/10/23, 103
2020/10/24, 116
2020/10/25, 104
2020/10/26, 121
2020/10/27, 128
2020/10/28, 141
2020/10/29, 151
2020/10/30, 145
2020/10/31, 135
2020/11/1, 134
2020/11/2, 157
2020/11/3, 162
2020/11/4, 161
2020/11/5, 156
2020/11/6, 141
2020/11/7, 154
2020/11/8, 160
2020/11/9, 148
2020/11/10, 158
2020/11/11, 160
2020/11/12, 159
2020/11/13, 149
2020/11/14, 131
2020/11/15, 149
2020/11/16, 149
2020/11/17, 149
2020/11/18, 155
2020/11/19, 157
2020/11/20, 150
2020/11/21, 155
2020/11/22, 160
2020/11/23, 128
2020/11/24, 161
2020/11/25, 172
2020/11/26, 170
2020/11/27, 142
2020/11/28, 137
2020/11/29, 107
2020/11/30, 146
2020/12/1, 152
2020/12/2, 161
2020/12/3, 157
2020/12/4, 156
2020/12/5, 161
2020/12/6, 142
2020/12/7, 152
2020/12/8, 149
2020/12/9, 148
2020/12/10, 158
2020/12/11, 160
2020/12/12, 154
2020/12/13, 150
2020/12/14, 124
2020/12/15, 163
2020/12/16, 170
2020/12/17, 171
2020/12/18, 171
2020/12/19, 161
2020/12/20, 158
2020/12/21, 147
2020/12/22, 157
2020/12/23, 163
2020/12/24, 167
2020/12/25, 173
2020/12/26, 171
2020/12/27, 176
2020/12/28, 148
2020/12/29, 163
2020/12/30, 176
2020/12/31, 176
2021/1/1, 187
2021/1/2, 187
2021/1/3, 180
2020/7/1, 42
2020/7/2, 52
2020/7/3, 28
2020/7/4, 38
2020/8/10, 50
2020/8/14, 33
2020/8/15, 47
2020/8/16, 48
2020/8/17, 39
2020/8/18, 35
2020/8/19, 32
2020/8/20, 28
2020/8/21, 24
2020/8/22, 25
2020/8/23, 19
2020/8/25, 37
2020/8/26, 26
2020/8/30, 23
2020/8/31, 29
2020/9/1, 39
2020/9/2, 67
2020/9/3, 56
2020/9/4, 77
2020/9/5, 94
2020/9/6, 120
2020/9/7, 45
2020/9/8, 55
2020/9/9, 65
2020/9/10, 54
2020/9/11, 73
2020/9/12, 43
2020/9/13, 36
2020/9/14, 45
2020/9/15, 46
2020/9/16, 50
2020/9/17, 46
2020/9/18, 64
2020/9/19, 71
2020/9/20, 58
2020/9/21, 72
2020/9/22, 78
2020/9/23, 30
2020/9/24, 57
2020/9/25, 52
2020/9/26, 45
2020/9/27, 62
2020/9/28, 71
2020/9/29, 77
2020/9/30, 68
2020/4/1, 93
2020/4/2, 105
2020/4/3, 99
2020/4/4, 111
2020/4/7, 104
2020/4/8, 113
2020/4/9, 106
2020/4/10, 95
2020/4/11, 103
2020/4/12, 101
2020/4/13, 100
2020/4/14, 100
2020/4/15, 96
2020/4/16, 84
2020/4/17, 78
2020/4/18, 75
2020/4/19, 80
2020/4/20, 96
2020/4/21, 73
2020/4/22, 73
2020/4/23, 75
2020/4/24, 74
2020/4/25, 64
2020/4/26, 79
2020/4/27, 68
2020/4/28, 71
2020/4/29, 76
2020/4/30, 73
2020/5/1, 62
2020/5/2, 58
2020/5/3, 55
2020/5/4, 53
2020/5/5, 53
2020/5/6, 55
2020/5/7, 60
2020/5/8, 65
2020/5/9, 61
2020/5/10, 61
2020/5/11, 69
2020/5/12, 63
2020/5/13, 60
2020/5/14, 60
2020/5/15, 67
2020/5/16, 103
2020/5/17, 107
2020/5/18, 81
2020/5/19, 65
2020/5/20, 56
2020/5/21, 50
2020/5/22, 52
2020/5/23, 60
2020/5/25, 58
2020/5/26, 56
2020/5/27, 53
2020/5/28, 53
2020/5/29, 35
2020/5/30, 43
2020/5/31, 49
2020/6/1, 71
2020/6/2, 88
2020/6/3, 43
2020/6/4, 60
2020/6/5, 63
2020/6/6, 51
2020/6/7, 59
2020/6/8, 47
2020/6/9, 48
2020/6/10, 56
2020/6/11, 46
2020/6/12, 52
2020/6/13, 53
2020/6/14, 50
2020/6/15, 42
2020/6/16, 47
2020/6/17, 36
2020/6/18, 59
2020/6/19, 74
2020/6/20, 65
2020/6/21, 62
2020/6/22, 67
2020/6/23, 62
2020/6/24, 53
2020/6/25, 61
2020/6/26, 64
2020/6/27, 75
2020/6/28, 67
2020/6/29, 40
2020/6/30, 27
2020/1/1, 173
2020/1/2, 173
2020/1/3, 170
2020/1/4, 169
2020/1/5, 163
2020/1/6, 150
2020/1/7, 162
2020/1/8, 138
2020/1/9, 146
2020/1/10, 153
2020/1/11, 157
2020/1/12, 163
2020/1/13, 124
2020/1/14, 98
2020/1/15, 90
2020/1/16, 97
2020/1/17, 78
2020/1/18, 8
2020/1/19, 8
2020/1/20, 157
2020/1/21, 189
2020/1/22, 172
2020/1/23, 176
2020/1/24, 165
2020/1/25, 179
2020/1/26, 189
2020/1/27, 128
2020/1/28, 94
2020/1/29, 91
2020/1/30, 151
2020/1/31, 170
2020/2/1, 171
2020/2/2, 175
2020/2/3, 177
2020/2/4, 167
2020/2/5, 161
2020/2/6, 138
2020/2/7, 145
2020/2/8, 167
2020/2/9, 165
2020/2/10, 158
2020/2/11, 159
2020/2/12, 162
2020/2/13, 163
2020/2/14, 159
2020/2/15, 150
2020/2/16, 167
2020/2/17, 188
2020/2/18, 179
2020/2/19, 187
2020/2/20, 154
2020/2/21, 133
2020/2/22, 165
2020/2/23, 173
2020/2/24, 180
2020/2/25, 138
2020/2/26, 141
2020/2/27, 153
2020/2/28, 172
2020/2/29, 165
2020/3/1, 139
2020/3/2, 152
2020/3/3, 132
2020/3/4, 121
2020/3/5, 122
2020/3/6, 93
2020/3/7, 104
2020/3/8, 110
2020/3/9, 142
2020/3/10, 120
2020/3/11, 72
2020/3/12, 85
2020/3/13, 100
